datetime,city,state,country,shape,durationMinutes,comments,,
1/6/2010,pacific palisades,ca,us,teardrop,5 minutes,I was at home in my condo at night.My condo faces the back of the 16 unit building.,,
1/6/2010,searcy,ar,us,disk,1 hour,disc shape hovering above Searcy&#44 AR,,
1/7/2010,southampton,ny,us,formation,30 sec,7 dim lights triangular formation 30 sec easterly direction off long island ny,,
1/7/2010,mansfield,ma,us,light,3 min,Bright lights aligned with Castor and Pollux,,
1/7/2010,edgartown,ma,us,circle,50 sec.,UFO  Sighting 01/07/12010  My wife and I were sitting in our hot tub when we saw it.  It was almost overhead traveling from west to eas,,
1/7/2010,windham,nh,us,light,2 seconds,Bright white flash on the southwestern horizon,,
1/7/2010,west boylston,ma,us,light,approx. 1 sec.,Bright Florissant-green&#44 circular light arching downward with a trail of the same color.  ((NUFORC Note:  Possible meteor?  PD)),,
1/7/2010,westbrook,ct,us,triangle,2-3 minutes,Very large (747ish)&#44 low flying&#44 slow moving (30-50 mph)&#44 and absolutely silent triangular object w/3 lights.,,
1/8/2010,fort worth,tx,us,chevron,20 minutes,Colorful and bright huge objects in sky.,,
1/8/2010,tomball,tx,us,unknown,10-15 seconds,Four straight &#44horizontal lights on one 40-60&#39 structure&#44 150-200 ft in the air just above the tree line (Tomball TX),,
1/8/2010,port saint lucie,fl,us,fireball,2 -3 minutes,Red ball surrounded by fire surrounded by a blue green circle over Port Saint Lucie Florida,,
1/8/2010,boulder,co,us,triangle,40 seconds,A trangular craft with several&#44 large&#44 bright lights flew low and quick over the neighborhood,,
1/9/2010,london (canada),on,ca,disk,10-20 mins,very close encounter with what i truley cant imagine,,
1/9/2010,cleveland,tn,us,other,unknown,my daughter went with her mother to look for a job&#44 at hickery springs mfco.she toke a picture of her self seting in the drivers set. a,,
1/9/2010,francis creek,wi,us,light,1 hour,multi-colored pulsating UFO&#44 round white object falls out of it straight down toward the ground,,
1/9/2010,woodbridge,nj,us,light,nine minutes,Saw two lights that were not planes.,,
1/9/2010,seattle,wa,us,cylinder,1 minute,Reviewing my photos I came across a suspicious object in the upper right corner and it way flying at an odd angle. Too steep for a plan,,
1/9/2010,freedom (watsonville),ca,us,triangle,20,((HOAX??))  1/9/19 DURATION 20:00 FREEDOM CA  IT WAS A TRIANGLE BUT FIRST IT WAS ONE LIGHT,,
1/9/2010,santa fe springs,ca,us,sphere,6 seconds,Sphere like glowing objects hovering and then traveling in an incredibly fast speed then vanishing.,,
1/9/2010,saline,mi,us,formation,several hours,Southeast sky early in the evening&#44 Blue&#44 Green and Red Lights.  ((NUFORC Note:  Possible sighting of Sirius??  PD)),,
1/9/2010,buffalo,ny,us,light,2 seconds,Fast moving light curves in sky,,
1/9/2010,cincinnati,oh,us,light,not sure,cinti&#44ohio      23:00   light in back yard,,
1/9/2010,paducah,ky,us,unknown,45 minutes,I went outside for nightly smoke break and to gaze at the night sky.  I noticed something that seemed like an out of place star only to,,
1/10/2010,uxbridge,ma,us,sphere,5 minutes,Unidentified object&#44 roughly spherical&#44 hovering/moving very slowly&#44 many lights&#44 multiple colors.,,
1/10/2010,round rock,tx,us,light,2 seconds,3 Fast-moving lights over Round Rock Texas,,
1/10/2010,san jacinto,ca,us,unknown,5 secondes,A bright light hitting us while leaving at high speed,,
1/10/2010,norton,ma,us,triangle,1 min,strange craft with amazing speed.,,
1/10/2010,hancock,md,us,sphere,2 minutes,Photo taken of silver colored sphere in Western Maryland.,,
1/10/2010,cary,nc,us,changing,15 min,Object appears and hovers&#44 strange maneuvering.,,
1/10/2010,tularosa,nm,us,other,5 min.,green figure 8 followed by military aircraft,,
1/10/2010,eunice,la,us,oval,15:00 mins,Two objects meet then leave each other one to the east and one to the west,,
1/10/2010,butler,mo,us,chevron,1-2 minutes,((HOAX??))  I was heading driving to the store when I seen a red and yellow lighted craft in the air flying 1000 ft or less strobing.,,
1/10/2010,lompoc,ca,us,fireball,6 sec,huge bright orange sphere appeared and dissapeared,,
1/10/2010,pratt,ks,us,circle,6 seconds,4 rings of light accompanied by a single ring of light,,
1/11/2010,taunton,ma,us,unknown,10 seconds,((HOAX??))  saw a strange object in the night sky,,
1/11/2010,lakeland,fl,us,other,1 minute,Neon blue light in the sky disappears and then phone call is interrupted by unknown sound .,,
1/11/2010,fort myers,fl,us,fireball,15 seconds,Bright fireball seen over Naples area of SW Florida.,,
1/11/2010,fairfield,ca,us,oval,unknown,Shape was black in color,,
1/11/2010,joplin,mo,us,triangle,5 to 10 sec.,V shaped&#44 extreamly fast&#44 silent and the color was orange.,,
1/11/2010,leatherwood,ky,us,other,5 minutes,3 SQUARE-SHAPED OBJECTS WITH RED LIGHTS IN A TRIANGULAR FORM - KENTUCKY,,
1/11/2010,ingleside (canada),on,ca,triangle,5 minutes,triangle shaped craft with four coloured lights,,
1/12/2010,fayetteville,wv,us,sphere,7 minuts,something followed my family and left a piece behind,,
1/12/2010,eugene,or,us,unknown,2 minutes,Awaken by several episodes of BRIGHT FLASHING LIGHT and a very LOUD mysterous noise.,,
1/12/2010,springfield,or,us,changing,3 minutes,black floating object with lights,,
1/12/2010,alma,ar,us,other,night,((HOAX??))  a strange ball of fire&#44 like after burners.,,
1/12/2010,wichita,ks,us,teardrop,5 minutes,Orange teardrop-shape craft,,
1/12/2010,deep run,nc,us,other,10 seconds,Car like object in the sky,,
1/12/2010,waukesha,wi,us,disk,15minutes,five glowning globes over waukesha&#44wi,,
1/12/2010,ceres,ca,us,fireball,30 seconds,Fireballs seen from Ceres&#44 California,,
1/13/2010,white oak,pa,us,triangle,30 seconds,Blinking lights on a rectanglar shaped object spotted in the sky in White Oak&#44 PA.,,
1/13/2010,ackerman,ms,us,light,2 hours,A bright light hovering in the southwestern sky.  ((NUFORC Note:  Possible sighting of Sirius.  PD)),,
1/13/2010,gulf breeze,fl,us,unknown,4 minutes,Bright orange object&#44 rapid speed and direction changes ..,,
1/13/2010,denver,co,us,disk,10 seconds,large object hovering completely still&#44 three lights in the center with a glowing rounded bottom.,,
1/13/2010,gregory,mi,us,light,5min.,four lights in the sky.,,
1/13/2010,modesto,ca,us,other,1 minute,A diamond shapped object dimly lit and moving silent through the night sky,,
1/14/2010,lexington,ky,us,fireball,4 minutes,HAVE PICTURES,,
1/14/2010,holiday island,ar,us,triangle,10 minutes,Triangular patterned lights over Holiday Island&#44 Arkansas marina.,,
1/15/2010,carlsbad,ca,us,light,5 minutes,Bright light changes color from blue to red as it circles&#44 hovers&#44 dips&#44 and rises up&#44 only to eventually circle back down.,,
1/15/2010,bakersfield,ca,us,circle,8-10 minutes,Strange brightwhite w/red luminous &amp;quot; ufo &amp;quot; vanished right before me and leave&#39s the strangest smoke .......  I&#39ve ever seen .,,
1/15/2010,north san juan,ca,us,fireball,30,Large bright orange moon looking object hovers over mountains near sutter yuba countys.,,
1/15/2010,greensboro,nc,us,light,45,Light shaped reflective star that moving over the sky in a westerly direction.,,
1/15/2010,greensboro,nc,us,sphere,20 min,Broad daylight multiple color changing spheres,,
1/15/2010,pinawa (canada),mb,ca,light,40 sec,I saw a strange light at our local Girl Guide unit.,,
1/15/2010,long beach,ca,us,unknown,5 minutes +,Loud cycling noise followed by multiple helicopters,,
1/15/2010,tempe,az,us,circle,5 minutes,Orange&#44 glowing&#44 floating circular object over Tempe.,,
1/15/2010,whittier,ca,us,disk,20 seconds,round saucer with bright lights circiling around it,,
1/15/2010,flat creek,nc,us,triangle,1:00,Triangle craft headed towards Mars Hill&#44 NC,,
1/15/2010,yuma,az,us,light,15 seconds,Three white round lights morphed into two&#44 changed colors and then disappeared in the sky near Yuma&#44 AZ.,,
1/15/2010,plainville,ct,us,rectangle,30 seconds,Rectangular object moving across the sky.,,
1/16/2010,great falls,mt,us,triangle,5,Slow&#44 low craft with bright lights in a triangle pattern- heavy wind- Great Falls&#44 MT,,
1/16/2010,boise,id,us,changing,2 minutes,Red Light Above Boise Descends at Tremendous Speed&#44 Stops to Hover&#44 Emits Radiation - All filmed by Observer 01/16/2010,,
1/16/2010,corona,ca,us,triangle,5 minutes,White lights on triangular object over corona,,
1/16/2010,corona,ca,us,unknown,3 min.,CA&#44 Corona White Flashing Lights,,
1/16/2010,bellingham,ma,us,light,2 min,Blinking light zig-zagging across the sky.,,
1/16/2010,grass valley,ca,us,unknown,1 second,I saw a very bright&#44 white light at a very high speed shoot diagonally upwards into the sky.,,
1/16/2010,henderson,nv,us,chevron,6 seconds,small stealth bomber shaped object flew overhead silently,,
1/17/2010,granite falls,wa,us,light,20 seconds,Bright light coming from the sky with no noise.,,
1/17/2010,bayfield,wi,us,light,15 seconds,at 6:30 pm i was playing outside with my daughter. We were running through the trails i shoveled through the snow. My daughter loves to,,
1/17/2010,las vegas,nv,us,other,20 seconds,Sighting of a Glowing Ring floating down then across and past our hotel window. 2 different sightings.,,
1/17/2010,miami,fl,us,rectangle,1 min,Bright lights and fast moving object&#33,,
1/18/2010,pittsburgh,pa,us,light,4 minutes,Three very intense pulses or flashes of light in the north suburbs of Pittsburgh&#44PA.  01/18/2010 1:30am.,,
1/18/2010,lamar,sc,us,cigar,5 minutes,Silver Cigar-shaped object at 7:38 am in Lamar&#44 SC,,
1/18/2010,old hickory,tn,us,changing,10:20,THE FACT THAT THEY WAS TAKEING WATER FOR SOME RESONE,,
1/18/2010,oldwick,nj,us,triangle,1 min- 3 min,Triangular object with 40+ lights hovering over Oldwick&#44 New Jersey.,,
1/18/2010,mullica hill,nj,us,other,5 seconds,I saw what I thought was a plane flying straight with headlights on&#44 evolve into a bowtiw shape of light and shoot down to the ground.,,
1/18/2010,dillon,mt,us,oval,5 seconds,I was setting in my livingroom reading a book.  My dog was barking excessivly. I looked out the window and saw a very brilliant pure wh,,
1/18/2010,whitehall,mt,us,sphere,a few seconds,brightly glowing aqua-greenish sphere comes straight down and land 50 yards out in our horse pasture with no noise and disappears.,,
1/18/2010,seattle,wa,us,light,2 minutes,Bright&#44 flickering orange light,,
1/18/2010,arroyo grande,ca,us,light,milisec,Two bluish-green lights moving NNE over Arroyo Grande&#44 CA at unbelievable speed.,,
1/19/2010,elmwood park,il,us,flash,30 seconds,Two flashes quickly whisk into the sky and away,,
1/19/2010,azusa,ca,us,light,6 minutes,Red lights blinking or turning on/off in an estimated shape of a triangle.,,
1/19/2010,amherst,va,us,unknown,5 miutes,Mother and daughter chase UFO to daughter&#39s house,,
1/20/2010,gowanda,ny,us,fireball,<5 sec.,((HOAX??))  very fast fireballs&#44very scared.,,
1/20/2010,walnut,ia,us,flash,1 minute,HUGE Flash of Pale Blue Light &amp; Loud Cracking Sound in Walnut&#44 IA.,,
1/20/2010,san jose,ca,us,disk,1hr,I was in the back yard with grandkids&#44saw a bright light in the sky coming towards us&#44it stopped over my house&#44then i started taken vid,,
1/20/2010,north stonington,ct,us,light,20 minutes,Strange Lights and booming noises in North Stonington CT,,
1/20/2010,bandon,or,us,other,15 minutes,Close Encounter of the 5th Kind. ((NUFORC Note:  Possibly not a serious-minded report.  PD)),,
1/20/2010,poughkeepsie,ny,us,disk,about 15 minutes,Alien ship appears near synagogue.,,
1/20/2010,batesville,ar,us,diamond,3 minutes,Craft Hovering extremly quite; could have easily been inches above our hear unless we looked we would have had no idea,,
1/20/2010,new port richey,fl,us,fireball,about 2 minutes,Several orange orbs following eachother ACROSS the night sky&#44 I witnessed about 6 of them&#44 after calling my wife&#44 she was able to see 3,,
1/21/2010,saint charles,ia,us,other,15 minutes,Witness soundless flickering lights moving NE in the clouds above.,,
1/21/2010,rochester,ny,us,circle,40+ min,&quot;Flying Saucer&quot; surrounded by 8 planes,,
1/21/2010,san antonio,tx,us,sphere,1/2 second,comet looking object seen on NW side of San Antonio TX at 10:19pm 1/21/10,,
1/21/2010,bloomfield,nj,us,other,5 min,3 lights sighted not blinking&#44 moving slow&#44 duration 5 min not jet or blimp.,,
1/22/2010,riverside,nj,us,light,10-15 minutes,2 lights apear and the others shoots across sky when a plane flys by.  ((NUFORC Note:  Student report.  PD)),,
1/22/2010,boise,id,us,changing,20-25 seconds,33&#39 Wide White Object seen over Boise&#44 ID&#44 emitting Screeching/Shrill Noise (01/22/10),,
1/22/2010,lincoln,ne,us,disk,about 15 minutes,((NUFORC Note:  Student report. PD)) I am a firm believer in aliens&#44 being 16 years old&#44 I know people usually don&#39t take me seriously.,,
1/22/2010,socorro,nm,us,light,20 minutes,Silent red lights over Socorro&#44 NM.  ((NUFORC Note:  Witness experienced in the field of astronomy.  PD)),,
1/22/2010,southbridge,ma,us,triangle,6-7 minutes,Wedge shaped&#44 Unusual lights&#44 severe ozone smell,,
1/22/2010,spring,tx,us,sphere,40 min,This is a true story&#44 told just as it happened. One night (Approximately January 15th&#44 2010&#44 at 8:30 PM) while taking my 19 year ol,,
1/22/2010,peekskill,ny,us,unknown,30 seconds,Flashing amber light flying very low over the Hudson River.,,
1/23/2010,titusville,fl,us,triangle,3 seconds,this triangle ufo was transparent and  able to disappear,,
1/23/2010,reno,nv,us,cigar,5 minutes,bright beam of light may have landed in reno&#44 nevada,,
1/23/2010,carson city,nv,us,light,6 sec,3 blue lights over carson city in the vicinity of  E 5th st.,,
1/23/2010,lakewood,ca,us,disk,picture,seen strange saucer shaped object  in a picture i took from my backyard.,,
1/23/2010,pacific grove,ca,us,light,8 minutes,Observed 17 small light moving below the moon at 15:20PST on Saturday 1/23/10.,,
1/24/2010,tampa,fl,us,circle,5-6 minutes,Multi-colored illuminated circular object hovers near and crosses over busy interstate highway.,,
1/25/2010,lashburn (canada),sk,ca,triangle,ongoing,Star moving in circular motion counterclockwise over LAshburn Sk&#44CAnada,,
1/25/2010,iroquois falls (canada),on,ca,unknown,1/4 second,Your site was refered by the Rhine Research Center. For the past several months&#44 my wife and I have seen a bright white light in our be,,
1/25/2010,lake stevens,wa,us,unknown,15min.,Monday the 25th and the 26th. I am up at 4:45am every morning&#44 went out to have a smoke. The skys were clear&#44 both mornings&#44 I saw what,,
1/25/2010,miami,fl,us,other,seconds,Watching the 5:30 news here in Miami on channel 7 the anchor described how someone found inside a dumpster a framed pic of the space sh,,
1/25/2010,keaau,hi,us,light,couple minutes,Golden round light flying quietly&#44 small side balls blinked,,
1/25/2010,naples,fl,us,light,1 min,Amber light floats over Naples UFO or ???,,
1/25/2010,clayton,nc,us,light,3 seconds,1 light ver fast then gone,,
1/25/2010,raleigh,nc,us,sphere,5 min,I have one picture of green spheres near the moon.  Eight to twelve objects the same size.  Plane green spheres,,
1/26/2010,austin,tx,us,other,2 minutes,Two objects over Austin,,
1/26/2010,miami,fl,us,light,less than 2 sec,Saw first magnitude pinpoint moving south to north around 7:00 pm EST near Polaris from Miami,,
1/26/2010,chico,wa,us,triangle,3 minutes,Two lights joined by a third to form a triangular shape hovering ESE of Chico&#44 Washington.,,
1/27/2010,greensboro,nc,us,sphere,20 min,Round object maybe 5 miles away with an altitude about the same as a plane and has been stationary for about 20 min so far.,,
1/27/2010,fort collins,co,us,light,8 min,Very Bright in due West&#44 Hovered about 2 min&#39s&#44 then accelerated very fast stright up.,,
1/27/2010,santa fe springs,ca,us,sphere,3 minutes,UFO manuvering directly in LAX final approach,,
1/27/2010,charlotte,nc,us,fireball,20:30-20:31,Weird object goes across sky and boards a sationary object.  ((NUFORC Note:  Student report.  PD)),,
1/28/2010,south bend,in,us,triangle,20 sec,triangle over south bend,,
1/28/2010,reedsville,oh,us,light,20 minutes,Strange rotating bright light appears&#44 disappears&#44 and re-appears,,
1/28/2010,santa ana,ca,us,sphere,5 seconds,Two white spheres flying over an orange county freeway,,
1/28/2010,houston,tx,us,circle,45 sec,2 spheres flying around each other&#44 on a rotating axis,,
1/28/2010,perris,ca,us,triangle,10 minutes,Large black triangle hovering between 1500-2500 high then slowly crept northward at 50-80mph.,,
1/28/2010,folsom,nj,us,sphere,30 seconds,reflective object leaves light trail&#44 disappears,,
1/28/2010,stillwater,mn,us,light,15 minutes,Bright lights over St. Croix River/Bayport area Minnesota,,
1/29/2010,bayfield (canada),on,ca,unknown,less than 2 hours,wake up browsed with cuts one arm from wrist to elbow already healled except of 1 inch,,
1/29/2010,maple valley,wa,us,changing,all night and still conti,strange lights make half diamond shape in sky and one approaches the house.,,
1/29/2010,punxsutawney,pa,us,light,12-15 minutes,Large white light surrounded by flashing red/green lights,,
1/29/2010,madison county,nc,us,diamond,1 minute,I was driving down the road came to a stop sign. As i slowed i saw a bright flash of red and white light to my right. I then noticed in,,
1/29/2010,jefferson,md,us,oval,1-2minutes,Oval shaped object sighted hovering over a field,,
1/29/2010,edinburg,tx,us,cigar,5 minutes,At about 7:40pm a cigar shaped object at a great distance started doing zig-zags&#44 before joining 5 or more objects.,,
1/30/2010,kennebunk beach,me,us,cylinder,3 plus hours,Tall white colum of extremely bright light appearing suddenly off Kennebunk beach,,
1/30/2010,walkerton (canada),on,ca,rectangle,1 min,rectangle and orange. thought it was a fire but realized it was in the sky.,,
1/30/2010,oakland,ca,us,triangle,5-10 sec,Three transluscent&#44 reddish-colored&#44 orbs in a perfect triangular pattern fly overhead at a constant speed.,,
1/31/2010,milwaukee,wi,us,light,4-6 min,Very large&#44 bright moving searchlight&#44 but no plane or helicopter in sight to be making it.,,
1/31/2010,stone mountain,ga,us,triangle,60-70 seconds,Triangular object hovers&#44 darts away&#44  then disappears over Stone Mountain,,
1/31/2010,delray beach,fl,us,egg,15 minutes,The most memorable part of the experience was the lack of sound and the fluidity of its motion.,,
2/1/2010,socorro (west of&#44 on hwy 60),nm,us,rectangle,5 minutes?,Followed by at very close range&#44 rectangular shape&#44 orange lights approximately 75-85 mph,,
2/1/2010,clovis,ca,us,sphere,3 min,A bright gold light that zoomed toward me when I acknowledged it.,,
2/1/2010,ansonia,ct,us,oval,minute,Oval hovering disk,,
2/1/2010,marana,az,us,light,3 mins,Orange lights in night sky.,,
2/1/2010,wendell,id,us,light,20 minutes,Amber lights moving in a diagnal angle seen south of wendell idaho,,
2/2/2010,oakland park,fl,us,formation,1 minute,4 lights scramble together and shoot out in various directions-Fort Lauderdale,,
2/2/2010,beckwourth,ca,us,unknown,15 minutes,Two large blinking orange lights 20 feet high and 50 feet apart moving slowly away as we approached.,,
2/2/2010,wendell,id,us,light,20 min approx.,Amber lights appearing in the skies over Wendell&#44 ID 8:00PM 02/02/2010,,
2/2/2010,youngsville,la,us,fireball,4 minutes,On February 2&#44 2010&#44 at approximately 8:05pm&#44 I was driving south on Louisiana State Highway 89 at Glaser Drive&#44 just south of LA Hwy 1,,
2/2/2010,leawood,ks,us,circle,20 min,I could see that it had lights all around it and it was very large and disc shaped,,
2/3/2010,ocala,fl,us,circle,10 min,((HOAX??))  perfect circle  with middle invisible,,
2/3/2010,atlanta,ga,us,circle,2 to 3 mins,A big ring-like object with bright lights in Atlanta,,
2/3/2010,porter ranch,ca,us,light,2 seconds,White object streaked across sky&#44 broke apart&#44 and crashed in Porter Ranch&#44 CA,,
2/4/2010,monmouth,or,us,fireball,~1 minute,Yellow-orange-white-ish fireball without tail that appeared below clouds - sky is overcast.,,
2/4/2010,los angeles,ca,us,light,5-7 mins,Bright white object without strobe/wing lights or sound.  ((NUFORC Note:  Sighting of ISS&#44 which was visible  at 05:34 hrs..  PD)),,
2/4/2010,spencerport,ny,us,disk,about 15-20 seconds,Saucer like craft with round top and bottom. Strange texture and mixed colors... gliding just above trees.,,
2/4/2010,grove city,oh,us,sphere,more than a hour,((HOAX??))  white lights flying around the moon several times.,,
2/4/2010,chicago,il,us,disk,1.5 seconds,FLAT BLACK COLOR DISC.,,
2/5/2010,boulder,co,us,light,2 hours,large and bright blinking star begin to move&#44 stop&#44 move and stop erratically over the Flatirons,,
2/5/2010,langley,wa,us,triangle,3 hours plus,Triangles of colored lights&#44 two fairly stationary slowly moving higher in the night sky&#44 two darting about that sped off.,,
2/5/2010,benton city,wa,us,sphere,3-5 min,Bright orange and white lights low in the sky and then just disappeared.,,
2/5/2010,tatum,tx,us,other,5-10 minutes,Planes or UFO&#39s in East Texas?,,
2/5/2010,pittsburgh,pa,us,unknown,on and off for 5 hours,Power went out and bright red and blue lights lit up the sky. Later&#44 green lights flashed,,
2/6/2010,ellsworth,me,us,unknown,20 seconds,Green light and buzzing sound,,
2/6/2010,vernon,nj,us,triangle,3 minutes,On 02/06/2010 at about 6:30 pm while driveing on canastere rd going from Highland lakes to rockaway &#44NJ &#44I witnessed a very large craft,,
2/6/2010,cistern,tx,us,sphere,6min,5 low flying shperes seen in afternnon sky by 5 witnesses,,
2/6/2010,albuquerque,nm,us,oval,10 min,Oval ship flying over northwest albuquerque bright red&#44 yellow&#44 and white lights pulsing.,,
2/6/2010,elkins,wv,us,light,15 seconds,3 white lights in triangular formation + rapid independent movement seen over Elkins&#44 WV,,
2/6/2010,monterey,ca,us,light,10 min,2 lights&#44 green and blue&#44 crazy movements over Monterey,,
2/6/2010,woodbridge,va,us,light,1 minute,bright yellow lights in the sky that moved with out a sound.,,
2/7/2010,cando (canada),sk,ca,cylinder,2 minutes,A big red UFO flew past the house followed by another red UFO,,
2/7/2010,cicero,il,us,triangle,15 seconds,A loud black triangle with red lights seen in Cicero&#44 Illinois,,
